"382","VENERAND","17100"
"383","BUE","18300"
"384","CHAROST","18290"
"385","CONCRESSAULT","18260"
"386","OUFFIERES","14220"
"387","LA ROQUE BAIGNARD","14340"
"388","ST LOUP HORS","14400"
"389","ST MARCOUF","14330"
"390","ST PIERRE DU MONT","14450"
"391","ST VAAST EN AUGE","14640"
"392","SECQUEVILLE EN BESSIN","14740"
"393","TOURVILLE EN AUGE","14130"
"394","VICTOT PONTFOL","14430"
"395","VILLERVILLE","14113"
"396","VILLIERS LE SEC","14480"
"397","MAURIAC","15200"
"398","PARLAN","15290"
"399","ROUZIERS","15600"
"400","ST SIMON","15130"
"401","REINHARDSMUNSTER","67440"
"402","REUTENBOURG","67440"
"403","SCHIRRHEIN","67240"
"404","SCHWENHEIM","67440"
"405","WALTENHEIM SUR ZORN","67670"
"406","WESTHOUSE MARMOUTIER","67440"
"407","WINTZENHEIM KOCHERSBERG","67370"
"408","BLODELSHEIM","68740"
"409","LAPOUTROIE","68650"
"410","NEUWILLER","68220"
"411","RANSPACH LE BAS","68730"
"412","RIXHEIM","68170"
"413","ROUFFACH","68250"
"414","SPECHBACH LE HAUT","68720"
"415","BRULLIOLES","69690"
"416","LACENAS","69640"
"417","LIMAS","69400"
"418","ST APPOLINAIRE","69170"
"419","ST GERMAIN AU MONT D OR","69650"
"420","ST JEAN LA BUSSIERE","69550"
"421","AUTREY LES CERRE","70110"
"422","LES BATIES","70130"
"423","BOULT","70190"
"424","BREVILLIERS","70400"
"425","COGNIERES","70230"
"426","BIZOUS","65150"
"427","BUZON","65140"
"428","CAMPAN","65710"
"429","CASTERETS","65230"
"430","GONEZ","65350"
"431","HOUEYDETS","65330"
"432","LAMARQUE PONTACQ","65380"
"433","LANNE","65380"
"434","MARSAC","65500"
"435","MOLERE","65130"
"436","MOUMOULOUS","65140"
"437","NESTIER","65150"
"438","ORIEUX","65190"
"439","OSSUN EZ ANGLES","65100"
"440","PEYRIGUERE","65350"
"441","PEYROUSE","65270"
"442","RICAUD","65190"
"443","RIS","65590"
"444","SALIGOS","65120"
"445","ARGELES SUR MER","66700"
"446","CODALET","66500"
"447","JOCH","66320"
"448","LLUPIA","66300"
"449","RASIGUERES","66720"
"450","BREUSCHWICKERSHEIM","67112"
"451","BUTTEN","67430"
"452","CLEEBOURG","67160"
"453","DAUENDORF","67350"
"454","DUNTZENHEIM","67270"
"455","DUTTLENHEIM","67120"
"456","EBERSHEIM","67600"
"457","FURCHHAUSEN","67700"
"458","HINSBOURG","67290"
"459","MITTELHAUSBERGEN","67206"
"460","OERMINGEN","67970"
"461","PETERSBACH","67290"
"462","ACHIET LE PETIT","62121"
"463","AMES","62190"
"464","AUCHY LES HESDIN","62770"
"465","AUDREHEM","62890"
"466","AVESNES","62650"
"467","BARASTRE","62124"
"468","BEAULENCOURT","62450"
"469","BEUGIN","62150"
"470","BEUSSENT","62170"
"471","BOIRY ST MARTIN","62175"
"472","CAFFIERS","62132"
"473","CAMBLAIN CHATELAIN","62470"
"474","CROISILLES","62128"
"475","DIVION","62460"
"476","ESSARS","62400"
"477","FLERS","62270"
"478","GUARBECQUE","62330"
"479","HOUCHIN","62620"
"480","HUMIERES","62130"
"481","ISQUES","62360"
"482","LAGNICOURT MARCEL","62159"
"483","COUBLUCQ","64410"
"484","DOMEZAIN BERRAUTE","64120"
"485","ETCHEBAR","64470"
"486","GERDEREST","64160"
"487","LARCEVEAU ARROS CIBITS","64120"
"488","LEES ATHAS","64490"
"489","LESPIELLE","64350"
"490","LOUVIE JUZON","64260"
"491","MASPARRAUTE","64120"
"492","MAURE","64460"
"493","MIREPEIX","64800"
"494","POURSIUGUES BOUCOUE","64410"
"495","PRECILHON","64400"
"496","ST JUST IBARRE","64120"
"497","SUHESCUN","64780"
"498","VIELLENAVE DE NAVARRENX","64190"
"499","AGOS VIDALOS","65400"
"500","ARBEOST","65560"
"501","SAUSSES","4320"
"502","ST VERAN","5350"
"503","VITROLLES","5110"
"504","AUVARE","6260"
"505","COURMES","6620"
"506","LES FERRES","6510"
"507","BIEVRES","2860"
"508","BOHAIN EN VERMANDOIS","2110"
"509","CERSEUIL","2220"
"510","CESSIERES","2320"
"511","CLAIRFONTAINE","2260"
"512","CLAMECY","2880"
"513","CONDE SUR SUIPPE","2190"
"514","FLUQUIERES","2590"
"515","LAPPION","2150"
"516","LATILLY","2210"
"517","LAVAL EN LAONNOIS","2860"
"518","MERLIEUX ET FOUQUEROLLES","2000"
"519","MONT NOTRE DAME","2220"
"520","MONT ST JEAN","2360"
"521","MOUSSY VERNEUIL","2160"
"522","NAMPCELLES LA COUR","2140"
"523","NEUVE MAISON","2500"
"524","ST VINCENT SUR JABRON","4200"
"525","THORAME HAUTE","4170"
"526","LES THUILES","4400"
"527","MONT DAUPHIN","5600"
"528","PUY ST ANDRE","5100"
"529","ST LEGER LES MELEZES","5260"
"530","ST SAUVEUR","5200"
"531","LA JAVIE","4420"
"532","PIERRERUE","4300"
"533","STE CROIX A LAUZE","4110"
"534","ARBIS","33760"
"535","BAYAS","33230"
"536","CAMIRAN","33190"
"537","CARTELEGUE","33390"
"538","COUBEYRAC","33890"
"539","COUTURES","33580"
"540","DARDENAC","33420"
"541","FARGUES ST HILAIRE","33370"
"542","FONTET","33190"
"543","GABARNAC","33410"
"544","GALGON","33133"
"545","LABESCAU","33690"
"546","LADAUX","33760"
"547","LAGORCE","33230"
"548","NAUJAC SUR MER","33990"
"549","PINEUILH","33220"
"550","RAUZAN","33420"
"551","LA RIVIERE","33126"
"552","SAILLANS","33141"
"553","ST ANDRE DE CUBZAC","33240"
"554","ST AUBIN DE MEDOC","33160"
"555","ST GERMAIN DE LA RIVIERE","33240"
"556","ST MACAIRE","33490"
"557","ST ROMAIN LA VIRVEE","33240"
"558","ST SAUVEUR","33250"
"559","TAURIAC","33710"
"560","TIZAC DE CURTON","33420"
"561","VERDELAIS","33490"
"562","VILLENEUVE","33710"
"563","AVENE","34260"
"564","BRENAS","34650"
"565","FLORENSAC","34510"
"566","ST BAUZILLE DE PUTOIS","34190"
"567","ST JEAN DE LA BLAQUIERE","34700"
"568","VILLENEUVE LES BEZIERS","34500"
"569","VIOLS EN LAVAL","34380"
"570","BRUC SUR AFF","35550"
"571","PECORADE","40320"
"572","PEY","40300"
"573","ST ANDRE DE SEIGNANX","40390"
"574","ST BARTHELEMY","40390"
"575","ST GOR","40120"
"576","ST JEAN DE LIER","40380"
"577","BONNEVEAU","41800"
"578","CHOUE","41170"
"579","EPIAIS","41290"
"580","LES ESSARTS","41800"
"581","LA FERTE BEAUHARNAIS","41210"
"582","MUIDES SUR LOIRE","41500"
"583","ST JULIEN DE CHEDON","41400"
"584","THOURY","41220"
"585","VEILLEINS","41230"
"586","VIEVY LE RAYE","41290"
"587","MONTSEVEROUX","38122"
"588","LE PASSAGE","38490"
"589","ST ALBAN DE ROCHE","38080"
"590","ST BONNET DE CHAVAGNE","38840"
"591","ST DIDIER DE LA TOUR","38110"
"592","ST NAZAIRE LES EYMES","38330"
"593","ST SIMEON DE BRESSIEUX","38870"
"594","SECHILIENNE","38220"
"595","VILLARD NOTRE DAME","38520"
"596","VILLE SOUS ANJOU","38150"
"597","VOREPPE","38340"
"598","AMANGE","39700"
"599","LA CHATELAINE","39600"
"600","CHEMILLA","39240"
"601","ST JACUT LES PINS","56220"
"602","ST MARCEL","56140"
"603","ALTVILLER","57730"
"604","ARS LAQUENEXY","57530"
"605","ATTILLONCOURT","57170"
"606","BUHL LORRAINE","57400"
"607","GERBECOURT","57170"
"608","HETTANGE GRANDE","57330"
"609","HOLACOURT","57380"
"610","HULTEHOUSE","57820"
"611","JALLAUCOURT","57590"
"612","LANDANGE","57830"
"613","LORQUIN","57790"
"614","LOUDREFING","57670"
"615","MANOM","57100"
"616","MARIMONT LES BENESTROFF","57670"
"617","NEUNKIRCHEN LES BOUZONVILLE","57320"
"618","OBERGAILBACH","57720"
"619","OBERSTINZEL","57930"
"620","ROHRBACH LES BITCHE","57410"
"621","ROUHLING","57520"
"622","RUSTROFF","57480"
"623","STURZELBRONN","57230"
"624","VAXY","57170"
"625","VIRMING","57340"
"626","ZIMMING","57690"
"627","ZOMMANGE","57260"
"628","ANTHIEN","58800"
"629","CERVON","58800"
"630","CHEVANNES CHANGY","58420"
"631","HERY","58800"
"632","IMPHY","58160"
"633","DELAIN","70180"
"634","ECHENANS SOUS MONT VAUDOIS","70400"
"635","ESMOULIERES","70310"
"636","FOUGEROLLES","70220"
"637","FRESNE ST MAMES","70130"
"638","FROIDECONCHE","70300"
"639","MARAST","70110"
"640","MIGNAVILLERS","70400"
"641","PORT SUR SAONE","70170"
"642","POYANS","70100"
"643","ST MARCEL","70500"
"644","SCEY SUR SAONE ET ST ALBIN","70360"
"645","VAUCHOUX","70170"
"646","VILLARS LE PAUTEL","70500"
"647","VILLERS SUR SAULNOT","70400"
